Unnamed: 0,Date,FIIcall,FIIput,FIIFuture,FIIFutOI,FIICash,DIIcash,feat_PE,feat_PB,feat_Div_Yield,Open,High,Low,Close,USDINR
334.0,2024-04-15,-50366.0,1433.0,16970.0,-72379.0,-3268.0,4763.0,22.82,3.91,1.2,22339.05,22427.45,22259.55,22272.5,0.0
333.0,2024-04-16,-50366.0,1433.0,16970.0,-72379.0,-4468.0,2040.0,22.68,3.88,1.2,22125.3,22213.75,22079.45,22147.9,0.0
332.0,2024-04-18,-50366.0,1433.0,16970.0,-72379.0,-4260.0,2286.0,22.53,3.86,1.21,22212.35,22326.5,21961.7,21995.85,0.0
331.0,2024-04-19,-50366.0,1433.0,16970.0,-72379.0,129.0,-53.0,22.68,3.88,1.2,21861.5,22179.55,21777.65,22147.0,0.0
330.0,2024-04-22,-50366.0,1433.0,16970.0,-72379.0,-2915.0,3543.0,22.78,3.92,1.19,22336.9,22375.65,22198.15,22336.4,0.0
329.0,2024-04-23,-50366.0,1433.0,16970.0,-72379.0,-3045.0,2919.0,22.54,3.92,1.19,22447.05,22447.55,22349.45,22368.0,0.0
328.0,2024-04-24,-50366.0,1433.0,16970.0,-72379.0,-2512.0,3810.0,22.58,3.93,1.19,22421.55,22476.45,22384.0,22402.4,0.0
327.0,2024-04-25,-50366.0,1433.0,16970.0,-72379.0,-2823.0,6168.0,22.75,3.96,1.18,22316.9,22625.95,22305.25,22570.35,0.0
326.0,2024-04-26,-50366.0,1433.0,16970.0,-72379.0,-3404.0,4357.0,22.0,3.93,1.19,22620.4,22620.4,22385.55,22419.95,0.0
325.0,2024-04-29,-50366.0,1433.0,16970.0,-72379.0,169.0,692.0,22.2,3.97,1.15,22475.55,22655.8,22441.9,22643.4,0.0
324.0,2024-04-30,-50366.0,1433.0,16970.0,-72379.0,1072.0,1430.0,22.0,3.96,1.16,22679.65,22783.35,22568.4,22604.85,0.0
323.0,2024-05-02,-50366.0,1433.0,16970.0,-72379.0,-964.0,1352.0,22.03,3.97,1.15,22567.85,22710.5,22567.85,22648.2,0.0
322.0,2024-05-03,-50366.0,1433.0,16970.0,-72379.0,-2392.0,690.55,21.87,3.94,1.16,22766.35,22794.7,22348.05,22475.85,0.0
