Date,FIICash,DIIcash
2022-11-25,369.0,-296.0
2022-11-28,936.0,88.0
2022-11-29,1242.0,-744.0
2022-11-30,9010.0,-4056.0
2022-12-01,-1566.0,2665.0
2022-12-02,215.0,712.0
2022-12-05,-1139.0,2608.0
2022-12-06,-635.0,-559.0
2022-12-07,-1242.0,389.0
2022-12-08,-1132.0,772.0
2022-12-09,-158.0,502.0
2022-12-12,-139.0,696.0
2022-12-13,620.0,37.0
2022-12-14,372.0,926.0
2022-12-15,-711.0,261.0
2022-12-16,-1975.0,1543.0
2022-12-19,-538.0,687.0
2022-12-20,456.0,495.0
2022-12-21,-1119.0,1757.0
2022-12-22,929.0,2207.0
2022-12-23,-707.0,3399.0
2022-12-26,-498.0,1286.0
2022-12-27,-868.0,622.0
2022-12-28,-873.0,373.0
2022-12-29,-573.0,516.0
2022-12-30,-2951.0,2266.0
2023-01-02,-213.0,743.0
2023-01-03,-628.0,351.0
2023-01-04,-2621.0,774.0
2023-01-05,-1449.0,-194.0
2023-01-06,-2902.0,1083.0
2023-01-09,-203.0,1724.0
2023-01-10,-2109.0,1807.0
2023-01-11,-3208.0,2431.0
2023-01-12,-1663.0,2128.0
2023-01-13,-2422.0,1953.0
2023-01-13,-2422.0,1953.0
2023-01-16,-751.0,686.0
2023-01-17,211.0,91.0
2023-01-18,-319.0,1226.0
2023-01-19,400.0,-129.0
2023-01-20,-2002.0,1510.0
2023-01-23,-220.0,435.0
2023-01-24,-761.0,1145.0
2023-01-25,-2394.0,1378.0
2023-01-27,-5978.0,4252.0
2023-01-30,-6793.0,5513.0
2023-01-31,-5440.0,4506.0
2023-02-01,1785.0,529.0
2023-02-02,-3065.0,2371.0
2023-02-03,-932.0,1265.0
2023-02-06,-1218.0,1203.0
2023-02-07,-2560.0,640.0
2023-02-08,-737.0,941.0
2023-02-09,-145.0,-205.0
2023-02-10,1459.0,-291.0
2023-02-13,1322.0,522.0
2023-02-14,1305.0,205.0
2023-02-15,432.0,517.0
2023-02-16,1570.0,1577.0
2023-02-17,-624.61,-85.29
2023-02-20,-159.0,86.0
2023-02-21,526.0,-235.0
2023-02-22,-580.0,372.0
2023-02-23,-1417.0,1586.0
2023-02-24,-1470.0,1401.0
2023-02-27,-2023.0,2232.0
2023-02-28,-4559.0,4610.0
2023-03-01,-425.0,1499.0
2023-03-02,12771.0,2129.0
2023-03-03,246.0,2090.0
2023-03-06,721.0,757.0
2023-03-08,3672.0,-938.0
2023-03-09,-562.0,42.0
2023-03-10,-2061.0,1350.0
2023-03-13,-1547.0,1419.0
2023-03-14,-3087.0,2122.0
2023-03-15,-1271.0,1824.0
2023-03-16,-282.0,2051.0
2023-03-17,-1767.0,1817.0
2023-03-20,-2546.0,2877.0
2023-03-21,-1455.0,1946.0
2023-03-22,62.0,384.0
2023-03-23,-995.0,1669.0
2023-03-24,-1720.0,2556.0
2023-03-27,-891.0,1809.0
2023-03-28,1531.0,-156.0
2023-03-29,1245.0,823.0
2023-03-31,358.0,2480.0
2023-04-03,322.0,-328.0
2023-04-05,807.0,-947.0
2023-04-06,476.0,-997.0
2023-04-10,883.0,352.0
2023-04-11,343.0,-264.0
2023-04-12,1908.0,-225.0
2023-04-13,222.0,-274.0
2023-04-17,-533.0,270.0
2023-04-18,-811.0,402.0
2023-04-19,-13.0,-110.0
2023-04-20,-1169.0,833.0
2023-04-21,-2117.0,1633.0
2023-04-24,-412.0,1177.0
2023-04-25,-407.0,564.0
2023-04-26,1257.0,-228.0
2023-04-27,1653.0,97.0
2023-04-28,3304.0,264.0
2023-05-02,1997.0,-394.0
2023-05-03,1338.0,-584.0
2023-05-04,1415.0,442.0
2023-05-05,778.0,-2199.0
2023-05-08,2124.0,245.0
2023-05-09,1942.0,405.0
2023-05-10,1833.0,-790.0
2023-05-11,837.0,-200.0
2023-05-12,1014.0,-922.0
2023-05-15,1685.0,191.0
2023-05-16,1407.0,-886.0
2023-05-17,149.0,-204.0
2023-05-18,970.0,-849.0
