TATACOFFEE,           Ratio_name Ratio_value company_name
8              liquid           0          KEC
9   equity_repurchase           0          KEC
10         asset_turn           0          KEC
11          fs_margin           0          KEC
PHILIPCARB,           Ratio_name Ratio_value company_name
0       margin_growth    0.656448   PHILIPCARB
1       margin_safety     1.27474   PHILIPCARB
2             ROA_pos           1   PHILIPCARB
3               fcfta           0   PHILIPCARB
4         accrual_pos           1   PHILIPCARB
5              fs_roa           0   PHILIPCARB
6           f_accrual           0   PHILIPCARB
7               lever           1   PHILIPCARB
8              liquid           0   PHILIPCARB
9   equity_repurchase           0   PHILIPCARB
10         asset_turn           0   PHILIPCARB
11          fs_margin           1   PHILIPCARB
JINDALSTEL,           Ratio_name Ratio_value company_name
0       margin_growth      0.8659   JINDALSTEL
1       margin_safety     3.29518   JINDALSTEL
2             ROA_pos           1   JINDALSTEL
3               fcfta           1   JINDALSTEL
4         accrual_pos           1   JINDALSTEL
5              fs_roa           1   JINDALSTEL
6           f_accrual           0   JINDALSTEL
7               lever           1   JINDALSTEL
8              liquid           0   JINDALSTEL
9   equity_repurchase           0   JINDALSTEL
10         asset_turn           0   JINDALSTEL
11          fs_margin           1   JINDALSTEL
FINEORG,           Ratio_name Ratio_value company_name
0       margin_growth    0.920003      FINEORG
1       margin_safety     5.06873      FINEORG
2             ROA_pos           1      FINEORG
3               fcfta           0      FINEORG
4         accrual_pos           1      FINEORG
5              fs_roa           0      FINEORG
6           f_accrual           0      FINEORG
7               lever           1      FINEORG
8              liquid           1      FINEORG
9   equity_repurchase           0      FINEORG
10         asset_turn           0      FINEORG
11          fs_margin           0      FINEORG
MHRIL,           Ratio_name Ratio_value company_name
0       margin_growth    0.943917        MHRIL
1       margin_safety     2.41324        MHRIL
2             ROA_pos           0        MHRIL
3               fcfta           0        MHRIL
4         accrual_pos           0        MHRIL
5              fs_roa           1        MHRIL
6           f_accrual           0        MHRIL
7               lever           1        MHRIL
8              liquid           0        MHRIL
9   equity_repurchase           0        MHRIL
10         asset_turn           0        MHRIL
11          fs_margin           0        MHRIL
CUMMINSIND,           Ratio_name Ratio_value company_name
0       margin_growth    0.942047   CUMMINSIND
1       margin_safety     3.92804   CUMMINSIND
2             ROA_pos           1   CUMMINSIND
3               fcfta           0   CUMMINSIND
4         accrual_pos           0   CUMMINSIND
5              fs_roa           0   CUMMINSIND
6           f_accrual           0   CUMMINSIND
7               lever           1   CUMMINSIND
8              liquid           0   CUMMINSIND
